Titre,Lien,Note,Genre,Genre numerique
k-on-ura-on-2,https://voiranime.com/anime/k-on-ura-on-2/,4,Comedy,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
k-missing-kings,https://voiranime.com/anime/k-missing-kings/,4.2,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-project,https://voiranime.com/anime/k-project/,4.1,Action&Comedy&Drama&Fantasy&Supernatural,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
k-return-of-kings,https://voiranime.com/anime/k-return-of-kings/,4.2,Action&Supernatural,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
kabukicho-sherlock,https://voiranime.com/anime/kabukicho-sherlock/,4.1,Comedy,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kachou-no-koi,https://voiranime.com/anime/kachou-no-koi/,3.1,Comedy&Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
kagaku-na-yatsura,https://voiranime.com/anime/kagaku-na-yatsura/,3,Comedy&Ecchi&Romance&Sci-Fi,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
kage-kara-mamoru,https://voiranime.com/anime/kage-kara-mamoru/,3,Comedy&Romance,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
ladies-versus-butlers,https://voiranime.com/anime/ladies-versus-butlers/,3.3,Comedy&Ecchi&Romance,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
ladies-versus-butlers-specials,https://voiranime.com/anime/ladies-versus-butlers-specials/,2.8,Ecchi,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lady-lady-1988,https://voiranime.com/anime/lady-lady-1988/,2.3,Drama,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lamune,https://voiranime.com/anime/lamune/,3.4,Drama&Romance&Slice of Life,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
lan-mo-de-hua,https://voiranime.com/anime/lan-mo-de-hua/,2.9,Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
lance-n-masques,https://voiranime.com/anime/lance-n-masques/,2.5,Action&Fantasy,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lapis-relights,https://voiranime.com/anime/lapis-relights/,4,Music,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
last-exile,https://voiranime.com/anime/last-exile/,3.8,Action&Adventure&Sci-Fi,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
last-exile-vf,https://voiranime.com/anime/last-exile-vf/,3.4,Action&Adventure&Sci-Fi,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
last-period-owarinaki-rasen-no-monogatari,https://voiranime.com/anime/last-period-owarinaki-rasen-no-monogatari/,3,Action&Adventure&Comedy&Fantasy,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
layton-kyouju-to-eien-no-utahime,https://voiranime.com/anime/layton-kyouju-to-eien-no-utahime/,3.9,Drama&Music&Sci-Fi,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
layton-mystery-tanteisha-katri-no-nazotoki-file,https://voiranime.com/anime/layton-mystery-tanteisha-katri-no-nazotoki-file/,3.8,Adventure,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
le-chevalier-deon,https://voiranime.com/anime/le-chevalier-deon/,3.3,Supernatural,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
le-chevalier-deon-vf,https://voiranime.com/anime/le-chevalier-deon-vf/,3.5,Supernatural,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
legend-of-basara,https://voiranime.com/anime/legend-of-basara/,3.6,Adventure&Drama&Romance&Sci-Fi,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
legend-of-duo,https://voiranime.com/anime/legend-of-duo/,4.3,Drama&Supernatural,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
legend-of-exorcism,https://voiranime.com/anime/legend-of-exorcism/,3,Action&Chinese&Fantasy,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
les-miserables-shoujo-cosette,https://voiranime.com/anime/les-miserables-shoujo-cosette/,3.8,Drama&Slice of Life,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
lets-nupu-nupu,https://voiranime.com/anime/lets-nupu-nupu/,2.6,Comedy&Ecchi,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
level-e,https://voiranime.com/anime/level-e/,3.8,Comedy&Sci-Fi,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
maburaho,https://voiranime.com/anime/maburaho/,3.2,Comedy&Drama&Ecchi&Romance,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
macademi-wasshoi,https://voiranime.com/anime/macademi-wasshoi/,3.5,Comedy&Ecchi&Fantasy&Romance&Supernatural,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
machikado-mazoku,https://voiranime.com/anime/machikado-mazoku/,4.1,Comedy&Fantasy&Mahou Shoujo&Slice of Life,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
machine-doll-wa-kizutsukanai,https://voiranime.com/anime/machine-doll-wa-kizutsukanai/,3.8,Action&Ecchi&Fantasy,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
machine-doll-wa-kizutsukanai-ova,https://voiranime.com/anime/machine-doll-wa-kizutsukanai-ova/,3.3,Action&Ecchi&Fantasy,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
macross-7,https://voiranime.com/anime/macross-7/,3.8,Action&Adventure&Comedy&Drama&Mecha&Music,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
macross-7-plus,https://voiranime.com/anime/macross-7-plus/,3,Comedy&Mecha&Music&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
macross-7-ginga-ga-ore-wo-yonde-iru,https://voiranime.com/anime/macross-7-ginga-ga-ore-wo-yonde-iru/,3.2,Action&Adventure&Comedy&Drama&Mecha&Music,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
macross-fb7-ginga-rukon-ore-no-uta-wo-kike,https://voiranime.com/anime/macross-fb7-ginga-rukon-ore-no-uta-wo-kike/,2.9,Action&Mecha&Music&Romance&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
macross-frontier,https://voiranime.com/anime/macross-frontier/,3.6,Action&Mecha&Music&Romance&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
macross-frontier-itsuwari-no-utahime,https://voiranime.com/anime/macross-frontier-itsuwari-no-utahime/,3.8,Action&Mecha&Music&Romance&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
macross-frontier-sayonara-no-tsubasa,https://voiranime.com/anime/macross-frontier-sayonara-no-tsubasa/,3.7,Action&Mecha&Music&Romance&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
macross-plus,https://voiranime.com/anime/macross-plus/,3.7,Action&Drama&Mecha&Music&Sci-Fi,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
macross-plus-movie-edition,https://voiranime.com/anime/macross-plus-movie-edition/,3.6,Adventure&Mecha&Music&Sci-Fi,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
macross-%ce%b4,https://voiranime.com/anime/macross-%ce%b4/,3.9,Action&Mecha&Music&Romance&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
madan-no-ou-to-vanadis,https://voiranime.com/anime/madan-no-ou-to-vanadis/,4.2,Adventure&Ecchi&Fantasy&Romance,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
madan-no-ou-to-vanadis-tigre-kun-to-vanadi-chu,https://voiranime.com/anime/madan-no-ou-to-vanadis-tigre-kun-to-vanadi-chu/,3.2,Comedy,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
made-in-abyss,https://voiranime.com/anime/made-in-abyss/,4.4,Adventure&Drama&Fantasy&Sci-Fi,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
made-in-abyss-dawn-of-the-deep-soul,https://voiranime.com/anime/made-in-abyss-dawn-of-the-deep-soul/,4.4,Adventure&Drama&Fantasy&Sci-Fi,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
